idkab;nmprov;nmkab;persen_anggaran_kesehatan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
1101;ACEH;SIMEULUE ;17.33;0.2;0.05;47.8101251452798;42.74506943813539
1102;ACEH;ACEH SINGKIL ;14.31;0.09;0.22;44.6714349996255;41.81065645317618
1103;ACEH;ACEH SELATAN ;18.72;0.04;0.16;47.071633378871;43.218013491659754
1105;ACEH;ACEH TIMUR ;16.18;0.51;0.02;40.4625894901246;43.52772316986277
1106;ACEH;ACEH TENGAH ;20.59;0.53;0.08;49.1400292861695;45.92610573651581
1107;ACEH;ACEH BARAT ;16.46;0.42;0.03;43.106285133563;43.28349704668905
1108;ACEH;ACEH BESAR ;13.81;0.34;0.0;49.8578183404333;41.554906420962304
1109;ACEH;PIDIE ;20.64;0.31;0.06;42.8234360078995;44.80043806028152
1110;ACEH;BIREUEN ;16.42;0.51;0.01;45.1117173375351;43.5800669697021
1111;ACEH;ACEH UTARA ;15.88;0.31;0.04;39.1704108157787;42.56003352553383
1112;ACEH;ACEH BARAT DAYA ;18.44;0.22;0.0;47.9199914143652;43.060866001782074
1113;ACEH;GAYO LUES ;15.13;0.2;0.06;47.1302170697274;41.81555377122054
1114;ACEH;ACEH TAMIANG ;16.02;0.11;0.08;48.1584403668465;41.899390015051466
1115;ACEH;NAGAN RAYA ;17.52;0.13;0.02;47.6931269199219;42.33466087856877
1116;ACEH;ACEH JAYA ;16.82;0.72;0.01;47.3623466161331;44.74981821337441
1117;ACEH;BENER MERIAH ;15.43;0.01;0.08;48.4701113448921;41.16356405925116
1171;ACEH;BANDA ACEH KOTA;15.1;0.42;0.05;60.9851895056001;42.784977180160155
1172;ACEH;SABANG KOTA;15.53;0.92;0.09;61.3238949371455;45.55657455947896
1173;ACEH;LANGSA KOTA;25.05;0.38;0.05;55.0913549400454;47.04925528663143
1174;ACEH;LHOKSEUMAWE KOTA;11.79;0.35;0.17;53.0159902940442;41.63416528969104
1175;ACEH;SUBULUSSALAM KOTA;16.74;0.41;0.28;45.0608873018779;44.738254386447935
1201;SUMATERA UTARA;NIAS ;25.78;0.16;0.02;34.6130027346525;46.17284754366159
1202;SUMATERA UTARA;MANDAILING NATAL ;11.59;0.23;0.04;37.9304296142713;40.262677766763844
1203;SUMATERA UTARA;TAPANULI SELATAN ;13.28;0.03;0.04;40.2054153968433;40.07545608909521
1204;SUMATERA UTARA;TAPANULI TENGAH ;16.65;0.63;0.02;43.5967759831403;44.30420059010683
1205;SUMATERA UTARA;TAPANULI UTARA ;16.9;0.06;0.04;44.2998183836316;41.837072619886825
1206;SUMATERA UTARA;TOBA ;16.11;0.5;0.1;49.0733494623172;43.88973767263293
1207;SUMATERA UTARA;LABUHAN BATU ;20.17;0.57;0.05;42.9980948874653;45.76165706473358
1208;SUMATERA UTARA;ASAHAN ;12.66;0.03;0.29;44.1677143594398;41.17460836090075
1209;SUMATERA UTARA;SIMALUNGUN ;12.18;0.3;0.1;43.6317323944861;41.18735992712534
1210;SUMATERA UTARA;DAIRI ;16.86;0.33;0.1;43.7034947088151;43.423365324804735
1211;SUMATERA UTARA;KARO ;14.93;1.0;0.03;49.1017318790805;45.33508601596456
1212;SUMATERA UTARA;DELI SERDANG ;15.75;0.96;0.13;45.5479160117637;46.064004355971996
1213;SUMATERA UTARA;LANGKAT ;16.45;0.08;0.13;43.2145812813526;42.225621986158295
1214;SUMATERA UTARA;NIAS SELATAN ;9.01;0.01;0.0;29.8146188233893;37.84985865622616
1215;SUMATERA UTARA;HUMBANG HASUNDUTAN ;15.99;0.36;0.04;45.4940687692504;42.84515222006206
1217;SUMATERA UTARA;SAMOSIR ;12.77;0.33;0.01;47.114729007609;41.09735535538837
1218;SUMATERA UTARA;SERDANG BEDAGAI ;13.43;0.09;0.09;43.4809014976852;40.70097918358649
1219;SUMATERA UTARA;BATU BARA ;12.34;0.64;0.03;43.5849352287507;42.477560488319575
1220;SUMATERA UTARA;PADANG LAWAS UTARA ;11.96;0.17;0.04;33.9662605300258;40.14519874010134
1221;SUMATERA UTARA;PADANG LAWAS ;12.87;0.25;0.16;38.1079258116031;41.59066056736169
1222;SUMATERA UTARA;LABUHAN BATU SELATAN ;17.41;0.44;0.01;43.6672453506232;43.69288274426788
1223;SUMATERA UTARA;LABUHAN BATU UTARA ;15.9;0.47;0.02;43.3431817879435;43.21370117420013
1224;SUMATERA UTARA;NIAS UTARA ;9.13;0.33;0.05;39.5932924530792;39.68858188880534
1225;SUMATERA UTARA;NIAS BARAT ;16.19;0.01;0.05;39.7282434782064;41.33849692544417
1271;SUMATERA UTARA;SIBOLGA KOTA;18.71;0.45;0.05;56.7612193025389;44.54211834428302
1272;SUMATERA UTARA;TANJUNG BALAI KOTA;19.38;0.18;0.23;49.0525261414965;44.559333744553996
1273;SUMATERA UTARA;PEMATANG SIANTAR KOTA;20.99;2.09;0.1;53.5783918048167;53.575007832252325
1274;SUMATERA UTARA;TEBING TINGGI KOTA;25.42;1.22;0.12;53.4722528613056;51.56324516253919
1275;SUMATERA UTARA;MEDAN KOTA;14.33;0.34;0.09;52.9120813464781;42.28321048963399
1276;SUMATERA UTARA;BINJAI KOTA;20.79;0.67;0.07;51.5134764244758;46.62103912096161
1277;SUMATERA UTARA;PADANGSIDIMPUAN KOTA;14.62;0.66;0.08;49.6755988642391;43.86762495431759
1278;SUMATERA UTARA;GUNUNGSITOLI KOTA;9.89;0.89;0.02;44.5676647237589;42.50547896012423
1301;SUMATERA BARAT;KEPULAUAN MENTAWAI ;15.56;0.17;0.07;38.4204986976264;41.92152574148446
1302;SUMATERA BARAT;PESISIR SELATAN ;15.71;0.54;0.3;48.3535960422558;45.00073473903495
1303;SUMATERA BARAT;SOLOK ;14.61;0.15;0.03;45.2270328731758;41.18175004264127
1304;SUMATERA BARAT;SIJUNJUNG ;20.84;0.25;0.15;46.5285531529188;45.10246280214678
1305;SUMATERA BARAT;TANAH DATAR ;16.58;0.36;0.01;51.6123079770229;42.94400385288628
1306;SUMATERA BARAT;PADANG PARIAMAN ;15.12;0.03;0.13;47.5203243203406;41.39450855804225
1307;SUMATERA BARAT;AGAM ;16.62;0.26;0.06;43.0589231397685;42.76545099827103
1308;SUMATERA BARAT;LIMA PULUH KOTA ;12.89;0.11;0.13;49.3192690029002;40.773925248785545
1309;SUMATERA BARAT;PASAMAN ;20.74;0.37;0.07;46.4876974488088;45.183324320586124
1310;SUMATERA BARAT;SOLOK SELATAN ;25.92;0.24;0.07;49.5196522091083;46.88825113595289
1311;SUMATERA BARAT;DHARMASRAYA ;18.25;0.06;0.02;53.2803497587593;42.33111711974698
1312;SUMATERA BARAT;PASAMAN BARAT ;17.34;0.14;0.02;47.1734723907517;42.30128221076561
1372;SUMATERA BARAT;SOLOK KOTA;10.51;1.01;0.14;58.2678789580502;44.009866882928314
1374;SUMATERA BARAT;PADANG PANJANG KOTA;23.94;1.31;0.11;58.5712488608594;51.270427285462596
1375;SUMATERA BARAT;BUKITTINGGI KOTA;12.59;1.92;0.05;62.422552310005;48.73834998146186
1376;SUMATERA BARAT;PAYAKUMBUH KOTA;21.98;0.9;0.26;56.005209343069;49.28493519993798
1377;SUMATERA BARAT;PARIAMAN KOTA;12.55;0.45;0.58;58.3660468179572;44.70373748749999
1401;RIAU;KUANTAN SINGINGI ;14.53;0.35;0.06;46.9841727875621;42.25470075461125
1402;RIAU;INDRAGIRI HULU ;16.09;0.33;0.06;42.9938006091772;42.85850209046787
