idkab;nmprov;nmkab;persen_anggaran_kesehatan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
1101;ACEH;SIMEULUE ;17.33;0.2;0.05;47.8101251452798;42.80728902036086
1102;ACEH;ACEH SINGKIL ;14.31;0.09;0.22;44.6714349996255;41.61493701764013
1103;ACEH;ACEH SELATAN ;18.72;0.04;0.16;47.071633378871;43.110163394535675
1105;ACEH;ACEH TIMUR ;16.18;0.51;0.02;40.4625894901246;43.63701059607959
1106;ACEH;ACEH TENGAH ;20.59;0.53;0.08;49.1400292861695;45.93913096568474
1107;ACEH;ACEH BARAT ;16.46;0.42;0.03;43.106285133563;43.377191139705175
1108;ACEH;ACEH BESAR ;13.81;0.34;0.0;49.8578183404333;41.697168177473536
1109;ACEH;PIDIE ;20.64;0.31;0.06;42.8234360078995;44.844142477735815
1110;ACEH;BIREUEN ;16.42;0.51;0.01;45.1117173375351;43.70446909387243
1111;ACEH;ACEH UTARA ;15.88;0.31;0.04;39.1704108157787;42.638956841171996
1112;ACEH;ACEH BARAT DAYA ;18.44;0.22;0.0;47.9199914143652;43.19874110328881
1113;ACEH;GAYO LUES ;15.13;0.2;0.06;47.1302170697274;41.86452495787087
1114;ACEH;ACEH TAMIANG ;16.02;0.11;0.08;48.1584403668465;41.91684380472023
1115;ACEH;NAGAN RAYA ;17.52;0.13;0.02;47.6931269199219;42.442742056208665
1116;ACEH;ACEH JAYA ;16.82;0.72;0.01;47.3623466161331;44.87380094504136
1117;ACEH;BENER MERIAH ;15.43;0.01;0.08;48.4701113448921;41.18159798424598
1171;ACEH;BANDA ACEH KOTA;15.1;0.42;0.05;60.9851895056001;42.84927980894934
1172;ACEH;SABANG KOTA;15.53;0.92;0.09;61.3238949371455;45.55900314416576
1173;ACEH;LANGSA KOTA;25.05;0.38;0.05;55.0913549400454;47.104090910354095
1174;ACEH;LHOKSEUMAWE KOTA;11.79;0.35;0.17;53.0159902940442;41.5175138250829
1175;ACEH;SUBULUSSALAM KOTA;16.74;0.41;0.28;45.0608873018779;44.44810307947705
1201;SUMATERA UTARA;NIAS ;25.78;0.16;0.02;34.6130027346525;46.2730580877831
1202;SUMATERA UTARA;MANDAILING NATAL ;11.59;0.23;0.04;37.9304296142713;40.345700671520305
1203;SUMATERA UTARA;TAPANULI SELATAN ;13.28;0.03;0.04;40.2054153968433;40.15690646459263
1204;SUMATERA UTARA;TAPANULI TENGAH ;16.65;0.63;0.02;43.5967759831403;44.41301847636403
1205;SUMATERA UTARA;TAPANULI UTARA ;16.9;0.06;0.04;44.2998183836316;41.915070547088106
1206;SUMATERA UTARA;TOBA ;16.11;0.5;0.1;49.0733494623172;43.87634778832556
1207;SUMATERA UTARA;LABUHAN BATU ;20.17;0.57;0.05;42.9980948874653;45.821104554077834
1208;SUMATERA UTARA;ASAHAN ;12.66;0.03;0.29;44.1677143594398;40.873068477970826
1209;SUMATERA UTARA;SIMALUNGUN ;12.18;0.3;0.1;43.6317323944861;41.17774884997036
1210;SUMATERA UTARA;DAIRI ;16.86;0.33;0.1;43.7034947088151;43.40929247255714
1211;SUMATERA UTARA;KARO ;14.93;1.0;0.03;49.1017318790805;45.43013059418016
1212;SUMATERA UTARA;DELI SERDANG ;15.75;0.96;0.13;45.5479160117637;46.004843222548416
1213;SUMATERA UTARA;LANGKAT ;16.45;0.08;0.13;43.2145812813526;42.16595571012789
1214;SUMATERA UTARA;NIAS SELATAN ;9.01;0.01;0.0;29.8146188233893;37.99675147190803
1215;SUMATERA UTARA;HUMBANG HASUNDUTAN ;15.99;0.36;0.04;45.4940687692504;42.923961624129035
1217;SUMATERA UTARA;SAMOSIR ;12.77;0.33;0.01;47.114729007609;41.22526600404113
1218;SUMATERA UTARA;SERDANG BEDAGAI ;13.43;0.09;0.09;43.4809014976852;40.70555960181007
1219;SUMATERA UTARA;BATU BARA ;12.34;0.64;0.03;43.5849352287507;42.57513727662141
1220;SUMATERA UTARA;PADANG LAWAS UTARA ;11.96;0.17;0.04;33.9662605300258;40.22788033680756
1221;SUMATERA UTARA;PADANG LAWAS ;12.87;0.25;0.16;38.1079258116031;41.48834229705299
1222;SUMATERA UTARA;LABUHAN BATU SELATAN ;17.41;0.44;0.01;43.6672453506232;43.816355033453775
1223;SUMATERA UTARA;LABUHAN BATU UTARA ;15.9;0.47;0.02;43.3431817879435;43.323262551131386
1224;SUMATERA UTARA;NIAS UTARA ;9.13;0.33;0.05;39.5932924530792;39.75858562848794
1225;SUMATERA UTARA;NIAS BARAT ;16.19;0.01;0.05;39.7282434782064;41.40183685649589
1271;SUMATERA UTARA;SIBOLGA KOTA;18.71;0.45;0.05;56.7612193025389;44.602978046726975
1272;SUMATERA UTARA;TANJUNG BALAI KOTA;19.38;0.18;0.23;49.0525261414965;44.343426948931075
1273;SUMATERA UTARA;PEMATANG SIANTAR KOTA;20.99;2.09;0.1;53.5783918048167;53.55667962636514
1274;SUMATERA UTARA;TEBING TINGGI KOTA;25.42;1.22;0.12;53.4722528613056;51.5101718427828
1275;SUMATERA UTARA;MEDAN KOTA;14.33;0.34;0.09;52.9120813464781;42.286888081719745
1276;SUMATERA UTARA;BINJAI KOTA;20.79;0.67;0.07;51.5134764244758;46.64919145957636
1277;SUMATERA UTARA;PADANGSIDIMPUAN KOTA;14.62;0.66;0.08;49.6755988642391;43.88631094589071
1278;SUMATERA UTARA;GUNUNGSITOLI KOTA;9.89;0.89;0.02;44.5676647237589;42.62068600061844
1301;SUMATERA BARAT;KEPULAUAN MENTAWAI ;15.56;0.17;0.07;38.4204986976264;41.954749761537016
1302;SUMATERA BARAT;PESISIR SELATAN ;15.71;0.54;0.3;48.3535960422558;44.680853901168014
1303;SUMATERA BARAT;SOLOK ;14.61;0.15;0.03;45.2270328731758;41.277255215176154
1304;SUMATERA BARAT;SIJUNJUNG ;20.84;0.25;0.15;46.5285531529188;45.00789876173815
1305;SUMATERA BARAT;TANAH DATAR ;16.58;0.36;0.01;51.6123079770229;43.068281136175614
1306;SUMATERA BARAT;PADANG PARIAMAN ;15.12;0.03;0.13;47.5203243203406;41.336117871594055
1307;SUMATERA BARAT;AGAM ;16.62;0.26;0.06;43.0589231397685;42.81299241010234
1308;SUMATERA BARAT;LIMA PULUH KOTA ;12.89;0.11;0.13;49.3192690029002;40.71764328521239
1309;SUMATERA BARAT;PASAMAN ;20.74;0.37;0.07;46.4876974488088;45.21157928962255
1310;SUMATERA BARAT;SOLOK SELATAN ;25.92;0.24;0.07;49.5196522091083;46.91159757670701
1311;SUMATERA BARAT;DHARMASRAYA ;18.25;0.06;0.02;53.2803497587593;42.43851603312609
1312;SUMATERA BARAT;PASAMAN BARAT ;17.34;0.14;0.02;47.1734723907517;42.40953294949965
1372;SUMATERA BARAT;SOLOK KOTA;10.51;1.01;0.14;58.2678789580502;43.94034285689505
1374;SUMATERA BARAT;PADANG PANJANG KOTA;23.94;1.31;0.11;58.5712488608594;51.23408993301611
1375;SUMATERA BARAT;BUKITTINGGI KOTA;12.59;1.92;0.05;62.422552310005;48.80476751659388
1376;SUMATERA BARAT;PAYAKUMBUH KOTA;21.98;0.9;0.26;56.005209343069;49.02039097315133
1377;SUMATERA BARAT;PARIAMAN KOTA;12.55;0.45;0.58;58.3660468179572;43.95727179861095
1401;RIAU;KUANTAN SINGINGI ;14.53;0.35;0.06;46.9841727875621;42.30421574798262
