idkab;nmprov;nmkab;persen_anggaran_bencana;persen_anggaran_kesehatan;persen_anggaran_pangan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
1101;ACEH;SIMEULUE ;0.12;17.33;0.07;0.2;0.05;47.8101251452798;43.05129607358484
1102;ACEH;ACEH SINGKIL ;0.03;14.31;0.33;0.09;0.22;44.6714349996255;41.799147986110505
1103;ACEH;ACEH SELATAN ;0.5;18.72;0.19;0.04;0.16;47.071633378871;43.25092787229836
1105;ACEH;ACEH TIMUR ;0.07;16.18;0.19;0.51;0.02;40.4625894901246;43.6033455651776
1106;ACEH;ACEH TENGAH ;0.07;20.59;0.25;0.53;0.08;49.1400292861695;45.88870198098165
1107;ACEH;ACEH BARAT ;0.12;16.46;0.11;0.42;0.03;43.106285133563;43.495374769561444
1108;ACEH;ACEH BESAR ;0.18;13.81;0.32;0.34;0.0;49.8578183404333;41.39327929006747
1109;ACEH;PIDIE ;0.03;20.64;0.06;0.31;0.06;42.8234360078995;45.12116366604324
1110;ACEH;BIREUEN ;0.13;16.42;0.18;0.51;0.01;45.1117173375351;43.64826316137885
1111;ACEH;ACEH UTARA ;0.75;15.88;0.09;0.31;0.04;39.1704108157787;42.63114047355236
1112;ACEH;ACEH BARAT DAYA ;0.12;18.44;0.06;0.22;0.0;47.9199914143652;43.351546230779064
1113;ACEH;GAYO LUES ;0.02;15.13;0.3;0.2;0.06;47.1302170697274;41.76988989157523
1114;ACEH;ACEH TAMIANG ;0.17;16.02;0.31;0.11;0.08;48.1584403668465;41.8008437166206
1115;ACEH;NAGAN RAYA ;0.04;17.52;0.06;0.13;0.02;47.6931269199219;42.674995846459844
1116;ACEH;ACEH JAYA ;0.23;16.82;0.08;0.72;0.01;47.3623466161331;44.939120737190606
1117;ACEH;BENER MERIAH ;0.26;15.43;0.05;0.01;0.08;48.4701113448921;41.50796734311882
1171;ACEH;BANDA ACEH KOTA;0.55;15.1;0.01;0.42;0.05;60.9851895056001;43.05836540186145
1172;ACEH;SABANG KOTA;0.23;15.53;0.16;0.92;0.09;61.3238949371455;45.63203532844525
1173;ACEH;LANGSA KOTA;0.56;25.05;0.06;0.38;0.05;55.0913549400454;47.1609809384444
1174;ACEH;LHOKSEUMAWE KOTA;1.51;11.79;0.07;0.35;0.17;53.0159902940442;41.59062916675106
1175;ACEH;SUBULUSSALAM KOTA;0.04;16.74;0.04;0.41;0.28;45.0608873018779;45.210959938769875
1201;SUMATERA UTARA;NIAS ;0.04;25.78;0.02;0.16;0.02;34.6130027346525;46.51855368196934
1202;SUMATERA UTARA;MANDAILING NATAL ;0.07;11.59;0.1;0.23;0.04;37.9304296142713;40.56729085885407
