idkab;nmprov;nmkab;persen_anggaran_kesehatan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
1101;ACEH;SIMEULUE ;17.33;0.2;0.05;47.8101251452798;28.56591
1102;ACEH;ACEH SINGKIL ;14.31;0.09;0.22;44.6714349996255;28.56591
1103;ACEH;ACEH SELATAN ;18.72;0.04;0.16;47.071633378871;28.56591
1105;ACEH;ACEH TIMUR ;16.18;0.51;0.02;40.4625894901246;28.56591
1106;ACEH;ACEH TENGAH ;20.59;0.53;0.08;49.1400292861695;28.56591
1107;ACEH;ACEH BARAT ;16.46;0.42;0.03;43.106285133563;28.56591
1108;ACEH;ACEH BESAR ;13.81;0.34;0.0;49.8578183404333;28.56591
1109;ACEH;PIDIE ;20.64;0.31;0.06;42.8234360078995;28.56591
1110;ACEH;BIREUEN ;16.42;0.51;0.01;45.1117173375351;28.56591
1111;ACEH;ACEH UTARA ;15.88;0.31;0.04;39.1704108157787;28.56591
1112;ACEH;ACEH BARAT DAYA ;18.44;0.22;0.0;47.9199914143652;28.56591
1113;ACEH;GAYO LUES ;15.13;0.2;0.06;47.1302170697274;28.56591
1114;ACEH;ACEH TAMIANG ;16.02;0.11;0.08;48.1584403668465;28.56591
1115;ACEH;NAGAN RAYA ;17.52;0.13;0.02;47.6931269199219;28.56591
1116;ACEH;ACEH JAYA ;16.82;0.72;0.01;47.3623466161331;29.9935
1117;ACEH;BENER MERIAH ;15.43;0.01;0.08;48.4701113448921;28.56591
1171;ACEH;BANDA ACEH KOTA;15.1;0.42;0.05;60.9851895056001;28.56591
1172;ACEH;SABANG KOTA;15.53;0.92;0.09;61.3238949371455;29.9935
1173;ACEH;LANGSA KOTA;25.05;0.38;0.05;55.0913549400454;28.56591
1174;ACEH;LHOKSEUMAWE KOTA;11.79;0.35;0.17;53.0159902940442;28.56591
1175;ACEH;SUBULUSSALAM KOTA;16.74;0.41;0.28;45.0608873018779;28.56591
1201;SUMATERA UTARA;NIAS ;25.78;0.16;0.02;34.6130027346525;28.56591
1202;SUMATERA UTARA;MANDAILING NATAL ;11.59;0.23;0.04;37.9304296142713;28.56591
1203;SUMATERA UTARA;TAPANULI SELATAN ;13.28;0.03;0.04;40.2054153968433;28.56591
1204;SUMATERA UTARA;TAPANULI TENGAH ;16.65;0.63;0.02;43.5967759831403;28.56591
1205;SUMATERA UTARA;TAPANULI UTARA ;16.9;0.06;0.04;44.2998183836316;28.56591
1206;SUMATERA UTARA;TOBA ;16.11;0.5;0.1;49.0733494623172;28.56591
1207;SUMATERA UTARA;LABUHAN BATU ;20.17;0.57;0.05;42.9980948874653;28.56591
1208;SUMATERA UTARA;ASAHAN ;12.66;0.03;0.29;44.1677143594398;28.56591
1209;SUMATERA UTARA;SIMALUNGUN ;12.18;0.3;0.1;43.6317323944861;28.56591
1210;SUMATERA UTARA;DAIRI ;16.86;0.33;0.1;43.7034947088151;28.56591
1211;SUMATERA UTARA;KARO ;14.93;1.0;0.03;49.1017318790805;29.9935
1212;SUMATERA UTARA;DELI SERDANG ;15.75;0.96;0.13;45.5479160117637;29.9935
1213;SUMATERA UTARA;LANGKAT ;16.45;0.08;0.13;43.2145812813526;28.56591
