idkab;adap_score;persen_anggaran_bencana;persen_anggaran_kesehatan;persen_anggaran_pangan;persen_anggaran_sampah;persen_anggaran_lh;persen_anggaran_jalan;nmprov;nmkab
1101;47.8101251452798;0.12;17.33;0.07;0.2;0.05;;ACEH;SIMEULUE 
1102;44.6714349996255;0.03;14.31;0.33;0.09;0.22;5.41;ACEH;ACEH SINGKIL 
1103;47.071633378871;0.5;18.72;0.19;0.04;0.16;3.4;ACEH;ACEH SELATAN 
1104;45.7163024790568;0.64;15.11;0.26;0.04;;6.15;ACEH;ACEH TENGGARA 
1105;40.4625894901246;0.07;16.18;0.19;0.51;0.02;6.01;ACEH;ACEH TIMUR 
1106;49.1400292861695;0.07;20.59;0.25;0.53;0.08;3.57;ACEH;ACEH TENGAH 
1107;43.106285133563;0.12;16.46;0.11;0.42;0.03;;ACEH;ACEH BARAT 
1108;49.8578183404333;0.18;13.81;0.32;0.34;0.0;;ACEH;ACEH BESAR 
1109;42.8234360078995;0.03;20.64;0.06;0.31;0.06;;ACEH;PIDIE 
1110;45.1117173375351;0.13;16.42;0.18;0.51;0.01;5.24;ACEH;BIREUEN 
1111;39.1704108157787;0.75;15.88;0.09;0.31;0.04;;ACEH;ACEH UTARA 
1112;47.9199914143652;0.12;18.44;0.06;0.22;0.0;;ACEH;ACEH BARAT DAYA 
1113;47.1302170697274;0.02;15.13;0.3;0.2;0.06;;ACEH;GAYO LUES 
1114;48.1584403668465;0.17;16.02;0.31;0.11;0.08;;ACEH;ACEH TAMIANG 
1115;47.6931269199219;0.04;17.52;0.06;0.13;0.02;;ACEH;NAGAN RAYA 
1116;47.3623466161331;0.23;16.82;0.08;0.72;0.01;3.98;ACEH;ACEH JAYA 
1117;48.4701113448921;0.26;15.43;0.05;0.01;0.08;;ACEH;BENER MERIAH 
1118;45.2340990046674;0.16;22.14;0.14;0.1;;;ACEH;PIDIE JAYA 
1171;60.9851895056001;0.55;15.1;0.01;0.42;0.05;;ACEH;BANDA ACEH KOTA
1172;61.3238949371455;0.23;15.53;0.16;0.92;0.09;;ACEH;SABANG KOTA
1173;55.0913549400454;0.56;25.05;0.06;0.38;0.05;;ACEH;LANGSA KOTA
1174;53.0159902940442;1.51;11.79;0.07;0.35;0.17;;ACEH;LHOKSEUMAWE KOTA
1175;45.0608873018779;0.04;16.74;0.04;0.41;0.28;;ACEH;SUBULUSSALAM KOTA
1201;34.6130027346525;0.04;25.78;0.02;0.16;0.02;;SUMATERA UTARA;NIAS 
1202;37.9304296142713;0.07;11.59;0.1;0.23;0.04;3.18;SUMATERA UTARA;MANDAILING NATAL 
1203;40.2054153968433;0.26;13.28;0.2;0.03;0.04;;SUMATERA UTARA;TAPANULI SELATAN 
1204;43.5967759831403;0.26;16.65;0.06;0.63;0.02;;SUMATERA UTARA;TAPANULI TENGAH 
1205;44.2998183836316;0.04;16.9;0.22;0.06;0.04;;SUMATERA UTARA;TAPANULI UTARA 
1206;49.0733494623172;0.1;16.11;0.07;0.5;0.1;;SUMATERA UTARA;TOBA 
