kab_code,longsor_per_year,banjir_per_year,ekstrim_per_year,kekeringan_per_year
1101,7,43,10,29
1102,12,122,2,10
1103,42,305,6,24
1104,18,88,5,26
1105,12,302,9,61
1106,58,31,4,15
1107,8,272,2,18
1108,9,59,2,61
1109,15,245,10,27
1110,26,191,5,38
1111,9,506,11,96
1112,12,156,18,18
1113,24,31,2,9
1114,2,73,2,16
1115,18,154,0,6
1116,2,160,0,12
1117,33,3,12,4
1118,1,105,1,4
1171,0,6,0,0
1172,2,1,0,0
1173,2,37,6,2
1174,10,47,1,9
1175,11,77,2,3
1201,27,64,0,3
1202,26,134,8,14
1203,26,58,2,6
1204,28,90,5,20
1205,54,10,8,5
1206,23,13,13,24
1207,1,28,2,0
1208,9,86,2,2
1209,68,81,19,16
1210,54,3,14,25
1211,46,21,9,39
1212,34,50,46,5
1213,15,75,13,2
1214,114,180,9,49
1215,22,12,7,8
1216,22,0,3,0
1217,25,2,7,63
1218,6,75,38,3
1219,0,28,10,2
1220,13,34,1,24
1221,4,25,1,13
1222,0,16,1,0
1223,4,40,2,0
1224,22,68,0,2
1225,64,75,2,26
1271,12,6,2,0
1272,0,6,0,0
1273,10,10,3,0
1274,0,30,5,0
1275,1,81,4,0
1276,0,16,4,0
1277,3,10,0,0
1278,12,8,4,2
1301,4,20,3,2
1302,41,193,14,26
1303,43,22,10,15
1304,27,33,2,7
1305,31,4,6,14
1306,29,34,14,3
1307,32,14,12,2
1308,23,24,12,19
1309,20,41,2,2
1310,8,35,4,5
1311,5,35,3,4
1312,13,36,4,5
1371,16,60,24,1
1372,1,10,1,0
1373,32,0,0,10
1374,1,6,0,0
1375,2,19,0,0
1376,0,3,4,1
1377,0,4,0,0
1401,5,92,2,14
1402,3,169,0,20
1403,9,33,9,28
1404,0,30,0,6
1405,1,11,2,6
1406,6,140,6,14
1407,2,88,5,21
1408,0,30,5,12
1409,2,52,3,13
1410,0,16,1,4
1471,0,20,1,0
1473,0,18,1,3
1501,24,158,3,7
1502,22,66,4,6
1503,2,79,2,13
1504,1,68,3,9
1505,6,88,3,13
1506,1,9,3,3
1507,2,32,2,4
1508,4,64,4,14
1509,12,87,3,11
1571,0,28,2,1
1572,14,92,1,10
1601,5,35,2,14
1602,0,56,10,28
1603,46,91,5,32
1604,16,48,3,11
1605,0,29,3,5
1606,4,38,4,22
1607,1,30,6,24
1608,35,23,3,9
1609,1,48,3,3
1610,3,58,1,47
1611,7,26,2,5
1612,4,33,1,11
1613,0,65,0,2
1671,0,10,1,0
1672,0,10,2,2
1673,5,0,2,2
1674,3,5,4,0
1701,20,17,2,6
1702,21,16,2,2
1703,8,22,3,0
1704,13,35,2,14
1705,8,56,2,8
1706,8,12,0,2
1707,16,43,0,1
1708,12,8,0,1
1709,6,17,1,6
1771,2,36,2,0
1801,39,29,3,7
1802,22,94,3,7
1803,0,51,9,12
1804,1,32,22,10
1805,2,55,23,19
1806,8,37,5,2
1807,8,78,10,15
1808,1,12,6,3
1809,16,88,4,6
1810,0,8,3,2
1811,0,31,4,8
1812,0,8,5,5
1813,10,26,8,15
1871,14,55,6,1
1872,0,2,2,0
1901,0,27,13,4
1902,0,14,5,5
1903,1,14,5,1
1904,0,17,5,0
1905,0,6,5,1
1906,0,9,2,0
1971,0,28,6,0
2101,1,23,7,6
2102,3,7,5,0
2103,0,3,3,6
2104,1,11,4,10
2105,4,2,1,3
2171,6,20,9,0
2172,1,8,3,1
3101,0,0,1,0
3171,4,58,0,0
3172,2,40,0,0
3173,0,12,0,0
3174,0,17,0,0
3175,0,28,0,0
3201,186,77,80,26
3202,214,57,52,75
3203,118,34,15,28
3204,84,189,38,23
3205,281,82,47,120
3206,205,37,22,60
3207,127,51,47,50
3208,116,20,6,26
3209,18,194,28,38
3210,90,46,17,37
3211,134,57,5,28
3212,1,36,7,14
3213,36,47,12,20
3214,38,14,7,16
3215,5,98,19,12
3216,6,100,14,20
3217,85,7,10,15
3218,17,40,16,16
3271,74,26,14,0
3272,13,6,3,0
3273,16,88,6,0
3274,0,23,2,0
3275,3,51,3,0
3276,9,30,4,0
3277,6,14,2,1
3278,12,6,18,6
3279,8,2,7,4
3301,75,119,24,32
3302,146,60,32,16
3303,47,21,25,9
3304,94,8,9,12
3305,147,129,38,48
3306,114,114,14,22
3307,141,6,14,2
3308,128,8,56,5
3309,57,23,32,10
3310,10,76,20,8
3311,5,49,11,2
3312,117,39,27,28
3313,89,20,12,4
3314,16,57,13,12
3315,17,139,10,18
3316,26,29,5,12
3317,14,20,4,12
3318,12,110,13,22
3319,6,44,5,2
3320,19,29,14,3
3321,2,71,15,13
