"","idkab","expo_index","sensi_index","adap_index","hazard_score","adap_score","vul_idx","persen_anggaran_bencana","persen_anggaran_jalan","persen_anggaran_kesehatan","persen_anggaran_pangan","persen_anggaran_sampah","persen_anggaran_lh"
"1","1101",13.5654771321161,18.5806485326173,47.8101251452798,16.0730628323667,47.8101251452798,-0.309080399290229,0.12,NA,17.33,0.07,0.2,0.05
"2","1102",8.77177277237685,9.29368909631832,44.6714349996255,9.03273093434758,44.6714349996255,-0.459903645004576,0.03,5.41,14.31,0.33,0.09,0.22
"3","1103",22.6894758925929,10.9712509193672,47.071633378871,16.8303634059801,47.071633378871,-0.378228714122678,0.5,3.4,18.72,0.19,0.04,0.16
"4","1104",13.8789619762974,10.5566879438485,45.7163024790568,12.2178249600729,45.7163024790568,-0.420660468860639,0.64,6.15,15.11,0.26,0.04,NA
"5","1105",33.0860800273815,8.47044327435007,40.4625894901246,20.7782616508658,40.4625894901246,-0.22554034372086,0.07,6.01,16.18,0.19,0.51,0.02
"6","1106",11.0226054696622,9.87195572506444,49.1400292861695,10.4472805973633,49.1400292861695,-0.520433246789049,0.07,3.57,20.59,0.25,0.53,0.08
"7","1107",16.2714138046573,7.94614934192711,43.106285133563,12.1087815732922,43.106285133563,-0.403477939625479,0.12,NA,16.46,0.11,0.42,0.03
"8","1108",22.9731774323316,7.51282454133276,49.8578183404333,15.2430009868322,49.8578183404333,-0.497299811349938,0.18,NA,13.81,0.32,0.34,0
"9","1109",20.4810402820347,8.18323606485896,42.8234360078995,14.3321381734468,42.8234360078995,-0.364289851228821,0.03,NA,20.64,0.06,0.31,0.06
"10","1110",21.9275260179844,9.6503033458933,45.1117173375351,15.7889146819388,45.1117173375351,-0.370690584623381,0.13,5.24,16.42,0.18,0.51,0.01
"11","1111",51.7391549500608,8.86872292906734,39.1704108157787,30.3039389395641,39.1704108157787,-0.0637063148151024,0.75,NA,15.88,0.09,0.31,0.04
"12","1112",15.9617450621726,8.75273005065433,47.9199914143652,12.3572375564135,47.9199914143652,-0.484043700378977,0.12,NA,18.44,0.06,0.22,0
"13","1113",6.17197974633111,9.65398481400517,47.1302170697274,7.91298228016814,47.1302170697274,-0.518928894003871,0.02,NA,15.13,0.3,0.2,0.06
