province,district,population density,building density (total houses),% population >=65 yo,% population <=5 yo,% unemployed population,% disability population,median income,% poverty,ndvi (land cover),% houses without toilet,% houses without vehicle
1,Taplejung,,26471,,,,,,,,"26,14559329","99,51267425"
1,Panchthar,,41176,,,,,,,,"11,76413445","98,15426462"
1,Ilam,,64477,,,,,,,,"9,505715216","90,00573848"
1,Jhapa,,184384,,,,,,,,"25,80429972","17,44836862"
1,Morang,,213870,,,,,,,,"36,22667976","18,17225417"
1,Sunsari,,162279,,,,,,,,"36,06751336","27,53899149"
1,Dhankuta,,37616,,,,,,,,"22,77754147","96,66365376"
1,Terhathum,,22084,,,,,,,,"24,83245789","98,8679587"
1,Sankhuwasabha,,34615,,,,,,,,"21,76513072","97,73797487"
1,Bhojpur,,39393,,,,,,,,"35,93024141","99,63445282"
1,Solukhumbu,,23758,,,,,,,,"24,58961192","99,68431686"
1,Okhaldhunga,,32466,,,,,,,,"29,24598041","99,02051377"
1,Khotang,,42647,,,,,,,,"36,64970572","99,66937885"
1,Udayapur,,66514,,,,,,,,"48,3522266","71,3503924"
2,Saptari,,121064,,,,,,,,"79,25560034","25,54268816"
2,Siraha,,117929,,,,,,,,"78,73720629","31,48165422"
2,Dhanusa,,138225,,,,,,,,"64,88840658","28,59106529"
2,Mahottari,,111298,,,,,,,,"72,49725961","37,31333896"
2,Sarlahi,,132803,,,,,,,,"73,58267509","32,5790833"
2,Rautahat,,106652,,,,,,,,"75,46506395","24,48617935"
2,Bara,,108600,,,,,,,,"72,36924494","12,69981584"
2,Parsa,,95516,,,,,,,,"64,99015872","12,68583274"
Bagmati,Sindhuli,,57544,,,,,,,,"66,44828305","93,76998471"
Bagmati,Ramechhap,,43883,,,,,,,,"36,56769136","98,73755213"
Bagmati,Dolakha,,45658,,,,,,,,"30,35612598","98,43619957"
Bagmati,Sindhupalchok,,66635,,,,,,,,"35,86703684","97,10512493"
Bagmati,Kavrepalanchok,,80651,,,,,,,,"26,91597128","90,94493559"
Bagmati,Lalitpur,,109505,,,,,,,,"4,32400347","44,44819871"
Bagmati,Bhaktapur,,68557,,,,,,,,"3,032513091","55,44145747"
Bagmati,Kathmandu,,435544,,,,,,,,"1,15579597","54,85783296"
Bagmati,Nuwakot,,59194,,,,,,,,"40,66797311","94,46058722"
Bagmati,Rasuwa,,9741,,,,,,,,"43,31177497","98,03921569"
Bagmati,Dhading,,73842,,,,,,,,"29,62812492","95,24119065"
Bagmati,Makwanpur,,86045,,,,,,,,"40,33819513","76,34493579"
Bagmati,Chitawan,,132345,,,,,,,,"5,910310174","12,47799312"
Gandaki,Gorkha,,66458,,,,,,,,"26,95837973","97,57591261"
Gandaki,Lamjung,,42048,,,,,,,,"19,1233828","96,875"
Gandaki,Tanahu,,78286,,,,,,,,"16,12421123","90,42102036"
Gandaki,Syangja,,68856,,,,,,,,"10,38689439","93,94533519"
Gandaki,Kaski,,125459,,,,,,,,"0,8456946094","67,03305462"
Gandaki,Manang,,1448,,,,,,,,"34,59944751","61,53314917"
Gandaki,Mustang,,3305,,,,,,,,"36,64145234","76,49016641"
Gandaki,Myagdi,,27727,,,,,,,,"18,57034659","96,8694774"
Gandaki,Parbat,,35698,,,,,,,,"9,695221021","96,98582554"
Gandaki,Baglung,,61482,,,,,,,,"19,76188153","97,568394"
Gandaki,Nawalparasi East,,66915,,,,,,,,"21,78435328","28,52424718"
5,Gulmi,,64887,,,,,,,,"18,35960978","96,83449689"
5,Palpa,,59260,,,,,,,,"23,70907864","92,88390145"
5,Nawalparasi West,,61845,,,,,,,,"55,55339963","2,546689304"
5,Rupandehi,,163835,,,,,,,,"41,47587512","8,531144139"
5,Kapilbastu,,91264,,,,,,,,"68,44648492","13,34261045"
5,Arghakhanchi,,46826,,,,,,,,"28,37526161","96,63007731"
5,Pyuthan,,47716,,,,,,,,"28,84567022","97,31117445"
5,Rolpa,,43735,,,,,,,,"78,35143478","99,33005602"
5,Rukum East,,11202,,,,,,,,"76,33458311","99,79467952"
5,Dang,,116347,,,,,,,,"39,13637653","64,18386379"
5,Banke,,94693,,,,,,,,"51,74194502","21,30569313"
5,Bardiya,,83147,,,,,,,,"51,33438368","17,92728541"
Karnali,Rukum West,,30635,,,,,,,,"61,36118818","99,46140036"
Karnali,Salyan,,46524,,,,,,,,"70,82151148","98,96612501"
Karnali,Surkhet,,72830,,,,,,,,"28,64478924","85,60757929"
Karnali,Dailekh,,48915,,,,,,,,"51,03138097","99,30287233"
Karnali,Jajarkot,,30468,,,,,,,,"56,15399764","99,85558619"
Karnali,Dolpa,,7466,,,,,,,,"49,24993303","98,15162068"
Karnali,Jumla,,19291,,,,,,,,"30,67233425","99,12912757"
Karnali,Kalikot,,23008,,,,,,,,"43,14586231","99,86091794"
Karnali,Mugu,,9600,,,,,,,,"51,61458333","99,82291667"
Karnali,Humla,,9437,,,,,,,,"49,79336654","91,92540002"
Sudur Pashchim,Bajura,,24888,,,,,,,,"61,52362584","99,87945998"
Sudur Pashchim,Bajhang,,33773,,,,,,,,"69,89014894","99,81346046"
Sudur Pashchim,Achham,,48318,,,,,,,,"52,43387557","99,65023387"
Sudur Pashchim,Doti,,41383,,,,,,,,"58,26788778","98,92226276"
Sudur Pashchim,Kailali,,142413,,,,,,,,"50,78258305","20,32609383"
Sudur Pashchim,Kanchanpur,,82134,,,,,,,,"44,75856527","12,94835269"
Sudur Pashchim,Dadeldhura,,27023,,,,,,,,"41,54238982","98,01650446"
Sudur Pashchim,Baitadi,,45167,,,,,,,,"57,1390617","99,47085261"
Sudur Pashchim,Darchula,,24604,,,,,,,,"53,26369696","99,43911559"
